랭킹,제목,가수명,좋아요수,
1,넘쳐흘러,엠씨더맥스,74196,65620
2,벌써 12시,청하,68122,59546
3,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40651,32075
4,180도,벤,116746,108170
5,신용재,하은 (라코스테남),79044,70468
6,SOLO,제니 (JENNIE),158248,149672
7,MILLIONS,WINNER,98760,90184
8,아낙네,MINO (송민호),140142,131566
9,Love Shot,EXO,119766,111190
10,너를 만나,폴킴,158097,149521
11,YES or YES,TWICE (트와이스),114808,106232
12,Tempo,EXO,167364,158788
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233167,224591
14,내 생에 아름다운,케이윌,89345,80769
15,너도 그냥 날 놓아주면 돼,윤건,37329,28753
16,아름답고도 아프구나,비투비,120091,111515
17,해야 (Sunrise),여자친구 (GFRIEND),22335,13759
18,IDOL,방탄소년단,213122,204546
19,가을 타나 봐,바이브,112171,103595
20,첫눈에,헤이즈 (Heize),49388,40812
21,흔한 이별,허각,36493,27917
22,삐삐,아이유,203611,195035
23,%%(응응),Apink (에이핑크),22935,14359
24,고백,양다일,97528,88952
25,이별하러 가는 길,임한별,70172,61596
26,"thank u, next",Ariana Grande,81239,72663
27,Way Back Home,숀 (SHAUN),249297,240721
28,봄바람,Wanna One (워너원),124997,116421
29,열애중,벤,148112,139536
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135919,127343
31,사계 (하루살이),엠씨더맥스,20049,11473
32,FAKE LOVE,방탄소년단,268652,260076
33,트라우마 (Trauma),EXO,66564,57988
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120098,111522
35,너 없인 안 된다,비투비,150060,141484
36,Wait,EXO,67389,58813
37,봄날,방탄소년단,377339,368763
38,Gravity,EXO,95729,87153
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78893,70317
40,그리워하다,비투비,218769,210193
41,닿은 순간 (Ooh La La La),EXO,93118,84542
42,지나오다,닐로 (Nilo),191977,183401
43,24/7,EXO,91746,83170
44,알았다면,장덕철,20415,11839
45,I`m Fine,방탄소년단,157058,148482
46,습관 (Bad Habits),숀 (SHAUN),17094,8518
47,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202764,194188
48,DNA,방탄소년단,334726,326150
49,Sign,EXO,89992,81416
50,여기 있을게 (Smile On My Face),EXO,87003,78427
51,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20389,11813
52,너는 어땠을까,노을,37082,28506
53,사이렌 (Siren),선미,109966,101390
54,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106561,97985
55,We all lie,하진,34894,26318
56,Damage,EXO,83558,74982
57,가끔 (With You),EXO,84755,76179
58,후폭풍 (Bad Dream),EXO,83485,74909
59,행복,오반 (OVAN),42695,34119
60,미안해,양다일,141991,133415
61,Universe,EXO,185701,177125
62,Dance The Night Away,TWICE (트와이스),138541,129965
63,시간이 들겠지 (Feat. Colde),로꼬,96394,87818
64,오아시스 (Oasis),EXO,86547,77971
65,밤편지,아이유,303737,295161
66,이별길 (GOODBYE ROAD),iKON,84230,75654
67,우리 그만하자,로이킴,121539,112963
68,가을 안부,먼데이 키즈 (Monday Kiz),126029,117453
69,헤어지는 중,펀치 (Punch),97969,89393
70,Euphoria,방탄소년단,150695,142119
71,비,폴킴,182987,174411
72,Answer : Love Myself,방탄소년단,130505,121929
73,Bohemian Rhapsody (2011 Remaster),Queen,88164,79588
74,에너제틱 (Energetic),Wanna One (워너원),286591,278015
75,Wind flower,마마무(Mamamoo),48765,40189
76,그때 헤어지면 돼,로이킴,191440,182864
77,동화 (feat. 아이유),김동률,54919,46343
78,BOOMERANG (부메랑),Wanna One (워너원),144033,135457
79,Beautiful,Wanna One (워너원),235105,226529
80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191429,182853
81,켜줘 (Light),Wanna One (워너원),133341,124765
82,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74233,65657
83,사랑을 했다 (LOVE SCENARIO),iKON,278905,270329
84,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89358,80782
85,Anpanman,방탄소년단,148941,140365
86,꿈처럼 내린,다비치,37686,29110
87,Epiphany,방탄소년단,119470,110894
88,불꽃놀이 (Flowerbomb),Wanna One (워너원),72300,63724
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8576,0
90,술래,Wanna One (워너원),69450,60874
91,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81317,72741
92,그때가 좋았어,케이시 (Kassy),14284,5708
93,Trivia 轉 : Seesaw,방탄소년단,113939,105363
94,집,Wanna One (워너원),71779,63203
95,그 남자를 떠나,god,13543,4967
96,YA,이민혁 (HUTA),14402,5826
97,묻고싶다 (One Love),Wanna One (워너원),66890,58314
98,I`M OK,iKON,23459,14883
99,RBB (Really Bad Boy),Red Velvet (레드벨벳),55116,46540
100,사랑은 다 이러니,홍진영,11289,2713
계,,,11321604,10464004
